j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
136,0.68,2.00447,2.00432,0.000142057,-4.58927,-4.58522,-0.00405052,-86.6405,-85.7844,-0.856076
137,0.685,1.98045,1.98033,0.000112166,-5.01612,-5.00848,-0.00764859,-84.0654,-83.5179,-0.547455
138,0.69,1.95433,1.95426,6.90283e-05,-5.42957,-5.4204,-0.00917357,-81.2794,-81.2515,-0.0279551
139,0.695,1.92618,1.92615,2.56164e-05,-5.82858,-5.82099,-0.00758827,-78.2896,-78.985,0.695452
140,0.7,1.89607,1.89607,0,-6.21214,-6.21025,-0.00189165,-75.1033,-76.7186,1.61529
141,0.705,1.86408,1.86407,7.22581e-06,-6.5793,-6.58342,0.00411914,-71.7285,-72.5483,0.819749
142,0.71,1.8303,1.83027,3.53204e-05,-6.92913,-6.93573,0.00660589,-68.1738,-68.378,0.204225
143,0.715,1.79482,1.79475,6.88772e-05,-7.26075,-7.2672,0.00644662,-64.4479,-64.2077,-0.240179
144,0.72,1.75773,1.75763,9.67666e-05,-7.57334,-7.57781,0.00447379,-60.5602,-60.0374,-0.522782
145,0.725,1.71912,1.71901,0.000111903,-7.8661,-7.86757,0.00147228,-56.5205,-55.8671,-0.65331
146,0.73,1.6791,1.67899,0.000111003,-8.1383,-8.13648,-0.00182267,-52.3387,-51.6969,-0.641867
147,0.735,1.63777,1.63768,9.43304e-05,-8.38927,-8.38454,-0.00472719,-48.0255,-47.5266,-0.498912
148,0.74,1.59524,1.59518,6.54363e-05,-8.61836,-8.61175,-0.00661056,-43.5915,-43.3563,-0.235233
149,0.745,1.55163,1.5516,3.08898e-05,-8.825,-8.8181,-0.00689678,-39.0479,-39.186,0.138079
150,0.75,1.50703,1.50703,0,-9.00867,-9.00361,-0.00506598,-34.4061,-35.0157,0.609661
151,0.755,1.46158,1.4616,-1.87827e-05,-9.16892,-9.16627,-0.00264472,-29.6776,-30.0499,0.372308
152,0.76,1.41538,1.41541,-2.81017e-05,-9.30532,-9.30411,-0.00121816,-24.8742,-25.084,0.20979
153,0.765,1.36857,1.3686,-3.20451e-05,-9.41755,-9.41711,-0.000442102,-20.008,-20.1181,0.110094
154,0.77,1.32125,1.32128,-3.31306e-05,-9.50532,-9.50529,-3.27926e-05,-15.0912,-15.1522,0.0610503
155,0.775,1.27355,1.27359,-3.26099e-05,-9.5684,-9.56863,0.000232333,-10.136,-10.1864,0.0503623
156,0.78,1.22561,1.22564,-3.0776e-05,-9.60664,-9.60715,0.000514106,-5.15484,-5.22047,0.0656377
157,0.785,1.17753,1.17756,-2.72731e-05,-9.61993,-9.62084,0.000911222,-0.160177,-0.254597,0.0944194
158,0.79,1.12945,1.12947,-2.14076e-05,-9.60824,-9.6097,0.00145999,4.8355,4.71128,0.124217
159,0.795,1.08149,1.0815,-1.24606e-05,-9.57159,-9.57372,0.00213426,9.81969,9.67716,0.142536
160,0.8,1.03377,1.03377,0,-9.51008,-9.51292,0.00284545,14.7799,14.643,0.136914
161,0.805,0.986429,0.986412,1.62165e-05,-9.42385,-9.42754,0.0036881,19.7039,19.5108,0.19306
162,0.81,0.939576,0.939539,3.71581e-05,-9.31312,-9.31782,0.00469494,24.5791,24.3786,0.200545
163,0.815,0.893338,0.893275,6.29865e-05,-9.17816,-9.18375,0.00559213,29.3935,29.2463,0.147178
164,0.82,0.847834,0.847742,9.23425e-05,-9.01931,-9.02535,0.00604522,34.135,34.1141,0.0209173
